numDep,Related to homicide,Moral violence,Robbery,Physical violence,"Drug, Alcohol, Health",Public degradations
1,283,209,1949,197,566,1519
2,1175,605,5097,400,815,1994
3,444,337,3503,251,432,1505
4,136,95,1278,75,150,423
5,146,67,1223,120,216,632
6,3744,2308,39498,1681,3181,10845
7,164,83,1614,81,202,434
8,464,281,2136,115,412,735
9,113,50,849,55,226,358
10,613,409,3918,298,343,1250
11,510,349,5129,251,522,1588
12,212,130,1536,131,365,657
13,7035,6099,84888,2593,7635,20471
14,1094,657,8706,585,1124,2863
15,72,32,748,44,60,189
16,446,196,3265,197,231,1183
17,783,418,8209,493,919,2353
18,390,265,3506,168,143,816
20,331,202,2169,135,130,762
21,624,720,6688,386,568,2280
22,336,171,2432,141,377,992
23,57,36,336,17,15,182
24,254,131,2394,145,251,728
25,897,592,6975,567,691,2722
26,852,644,8368,406,782,2288
27,847,394,4056,289,675,1826
28,554,307,4022,316,654,1501
30,2587,1906,33319,1103,2851,7346
31,2634,1545,24715,1305,3015,6668
32,72,34,1046,41,114,272
33,1722,1111,20723,787,1342,4629
34,1647,690,13806,625,1437,3893
35,2478,1551,26326,1081,2191,6589
36,157,80,1074,35,112,389
37,169,135,1337,88,131,474
38,932,623,6841,326,815,2607
39,84,43,744,40,151,322
40,899,548,7641,357,828,2222
41,686,493,5279,357,381,1726
42,2268,1240,21755,996,988,4547
43,96,37,1415,50,388,347
44,1737,1204,12829,911,1943,4752
45,362,171,2342,156,323,1003
46,600,429,6091,347,633,1711
47,300,208,2296,178,183,765
48,0,0,0,0,0,80
49,399,189,1334,263,278,996
50,1872,978,10197,1018,1571,3603
51,468,332,2731,314,436,1654
52,1301,644,9274,645,922,2682
53,49,25,267,46,111,121
54,1346,696,8916,903,1591,3230
55,0,4,5,1,4,663
56,852,603,4601,286,464,2113
57,1233,829,6881,644,1195,3845
58,26,6,48,21,264,92
59,10490,6167,78054,4708,10034,19585
60,676,464,3037,436,449,3219
61,590,227,1784,189,237,674
62,5642,2447,26240,2037,2565,8917
63,764,495,7497,507,1012,3327
64,1205,915,11173,578,1082,7068
65,9,12,78,47,244,1727
66,1880,1806,12378,987,1878,4887
67,1312,1011,7432,616,850,2999
68,67,89,653,46,114,1659
69,5954,4216,57455,3138,7230,15688
70,746,540,4715,493,882,1963
71,188,103,1613,82,135,3555
72,472,147,2121,116,359,740
73,715,390,5761,376,1184,2543
74,133,77,1043,322,471,2196
75,10412,6574,159300,5377,11614,45067
76,2666,2220,21474,1509,2284,6572
77,3474,2232,31640,1751,5618,10953
78,4208,3025,40020,2321,6024,13509
79,237,113,1432,99,248,427
80,75,41,823,63,38,248
81,1479,1252,11281,704,1714,4225
82,392,204,4212,152,541,1251
83,1765,1015,14328,714,1835,4484
84,823,545,7634,619,1019,2693
85,591,338,5143,338,506,1405
86,230,86,1669,119,264,570
87,538,408,3295,249,506,1334
88,594,314,4178,289,396,1725
89,336,206,2932,164,468,845
90,367,153,1924,128,241,638
91,2665,1399,22646,911,2846,6212
92,6151,4031,70782,2554,7987,21036
93,8086,3684,67519,2409,9375,17261
94,5434,3247,58149,2114,6082,16998
95,2791,1673,24053,897,3092,7145
991,291,368,2773,190,342,1147
992,900,646,8674,265,580,2320
